,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url
10,The New York Times,DYXfydzhHTQ,Trump Lashes Out at Israel and Iran Over Threat to Truce,"President Trump lashed out at Israel and Iran on Tuesday for launching attacks after he had announced a cease-fire. Iran denied violating the truce and Israel’s retaliation appeared limited, suggesting that the deal remained intact for now. #Trump #Iran #Israel #ceasefire

Follow live updates here: https://nyti.ms/4nhZkoC
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-24T15:00:32Z,PT1M5S,65,0:01:05,https://www.youtube.com/watch?v=DYXfydzhHTQ
11,The New York Times,cag1LtGHl3w,Air India CEO’s Words After Crash Draw Scrutiny,"A video message by Campbell Wilson, Air India’s chief executive, drew criticism for closely resembling what the head of American Airlines said after a deadly crash in Washington months earlier. #AirIndia #AmericanAirlines

Read the story here: https://nyti.ms/3HRrOFr
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-24T13:30:29Z,PT1M53S,113,0:01:53,https://www.youtube.com/watch?v=cag1LtGHl3w
12,The New York Times,Dc6mBN8mUgw,What We Learned About Trump’s Attack on Iran,"Over the past week, President Trump claimed he would make a decision about Iran in “two weeks” and repeatedly pressed it to come to the negotiating table. But the swiftness of the attack on Saturday night suggests that plans were underway after Israel began its bombing campaign against Iran a little more than a week ago. #Israel #Iran #Trump

Video by Maggie Haberman, John Pappas, Jon Hazell and Christina Shaman/The New York Times

Read the story here: https://nyti.ms/3Gdq1tR
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-23T23:30:04Z,PT2M59S,179,0:02:59,https://www.youtube.com/watch?v=Dc6mBN8mUgw
13,The New York Times,IqDW5GosKyc,Trump’s Risky Gamble on Attacking Iran,"With his strikes on Iran, President Trump is betting that the U.S. can repel any retaliation and that the attacks destroyed the regime’s chances of reconstituting Iran’s nuclear program. David Sanger, the White House and national security correspondent for The New York Times, explains the risk. 

Video by David E. Sanger, Alexandra Ostasiewicz and James Surdam #Iran#Israel#Trump

Read the story here: https://nyti.ms/4ng1gOc
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-23T21:30:02Z,PT2M59S,179,0:02:59,https://www.youtube.com/watch?v=IqDW5GosKyc
14,The New York Times,hKCNsv8WsQM,Damage Seen From U.S. Strikes as Iran Weighs Response,"In a briefing at the Pentagon, officials said the U.S. strikes caused “severe damage” to Iranian nuclear sites. Iran condemned the attacks and has vowed to defend itself. #trump #israel #iran

Read the story here: https://nyti.ms/3HTte2o
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-22T18:34:00Z,PT2M9S,129,0:02:09,https://www.youtube.com/watch?v=hKCNsv8WsQM
15,The New York Times,ClMY6WUpbfQ,Trump Speaks After U.S. Bombs Key Iran Nuclear Sites,"The U.S. has entered Israel’s war against Iran, attacking three nuclear sites. In an address from the White House, President Trump said the objective of the attacks “was the destruction of Iran’s nuclear enrichment capacity” and warned of more strikes “if peace does not come quickly.”
#trump #israel #iran

Read the story here: https://nyti.ms/3HTte2o
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-22T10:00:31Z,PT1M28S,88,0:01:28,https://www.youtube.com/watch?v=ClMY6WUpbfQ
16,The New York Times,4T7V3f02b1M,Mahmoud Khalil in NYC After Months of Detention,"Mahmoud Khalil, a pro-Palestinian activist detained for his role in protests at Columbia University, returned to the East Coast on bail after 104 days of imprisonment in Louisiana.

Khalil was detained by the Trump administration, which said he had enabled the spread of antisemitism and had sought to deport him. But his lawyers had denied the accusations of antisemitism and had protested his detention as unconstitutional retaliation for free speech. On Friday, a judge ordered him released on bail.

Read the story here: https://nyti.ms/3T2OXHj
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-22T02:49:00Z,PT1M11S,71,0:01:11,https://www.youtube.com/watch?v=4T7V3f02b1M
17,The New York Times,Sf3wEg9tsCY,Did the Camera Ever Tell the Truth? | Death of a Fantastic Machine | Op-Docs,"Film and text by Maximilien Van Aertryck and Axel Danielson:
The camera is a tool — but to do what? Images shape our daily life, yet we rarely question how they’re made or why.

As filmmakers, we’re fascinated by how humans use cameras and by the immense influence images have. For 15 years, we’ve investigated the history of the camera, and we’ve turned the material we gathered into a feature documentary, chronicling how people behind the camera went from capturing the image of a backyard to today’s multibillion-dollar content industry.

The video above, “Death of a Fantastic Machine,” is a shorter version of that documentary, and here we focus on something that emerged as the key factor: how economic forces have shaped what we see, from the earliest photography to the algorithms and A.I. of today.

Some say there are an estimated 45 billion cameras on earth today, giving humankind access to perspectives far beyond our own reach. But the very tool that could help us understand the world is increasingly used to distort it. With A.I., this distortion has reached a new level. When any photo or video can be manufactured, what happens to the camera’s credibility? Can we still trust what we see?

More from The New York Times Video: 
Op-Docs: https://www.nytimes.com/column/op-docs
Subscribe: http://bit.ly/U8Ys7n
Watch all of our videos here: http://nytimes.com/video​​
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-21T14:00:53Z,PT16M48S,1008,0:16:48,https://www.youtube.com/watch?v=Sf3wEg9tsCY
18,The New York Times,IplVGq96XNM,Assisted Dying Is Closer to Legalization After U.K. Lawmakers’ Vote,"Lawmakers in the U.K. approved plans to introduce medically assisted suicide for terminally ill patients in England and Wales. Legislators supported the proposal by a vote of 314 to 291. The bill now goes to the unelected second chamber of the Parliament, the House of Lords. #UK #England #Wales #health 
 
Read the story here: https://nyti.ms/4nb5xCD
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-21T00:45:01Z,PT1M36S,96,0:01:36,https://www.youtube.com/watch?v=IplVGq96XNM
19,The New York Times,2cldizdcC1g,Why ‘Jaws’ Would Never Be Made Today,"“Jaws,” the first blockbuster, was made 50 years ago. Would it be greenlit today? Probably not. Alissa Wilkinson, the New York Times film critic, breaks down why.

Video by Alissa Wilkinson, Karen Hanley, Gabriel Blanco, Leila Medina and Christina Shaman

Read the story here: https://nyti.ms/3I4jgLj
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-20T17:00:06Z,PT2M46S,166,0:02:46,https://www.youtube.com/watch?v=2cldizdcC1g
