,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url
0,HuffPost,YGabEMFHMHc,Part 3: There's A Name For The Sadness And Guilt Latinos Feel While Watching ICE Raids,"As violent immigration raids continue to make headlines, fear and anxiety ripple through our communities — affecting everyone, regardless of status or background. 

Alejandro Sandoval, a family and relationships therapist who works with Latino communities, shares his best self-care advice for these stressful times.",2025-06-27T19:51:54Z,PT51S,51,0:00:51,https://www.youtube.com/watch?v=YGabEMFHMHc
1,HuffPost,sg1SK3P_EU0,Part 2: There's A Name For The Sadness And Guilt Latinos Feel While Watching ICE Raids,"As violent immigration raids continue to make headlines, fear and anxiety ripple through our communities — affecting everyone, regardless of status or background. 

Alejandro Sandoval, a family and relationships therapist who works with Latino communities, shares his best self-care advice for these stressful times.",2025-06-27T19:51:02Z,PT52S,52,0:00:52,https://www.youtube.com/watch?v=sg1SK3P_EU0
2,HuffPost,0oetqwWqs9g,Part 1: There's A Name For The Sadness And Guilt Latinos Feel While Watching ICE Raids,"As violent immigration raids continue to make headlines, fear and anxiety ripple through our communities — affecting everyone, regardless of status or background.

Alejandro Sandoval, a family and relationships therapist who works with Latino communities, shares his best self-care advice for these stressful times.",2025-06-27T19:50:30Z,PT57S,57,0:00:57,https://www.youtube.com/watch?v=0oetqwWqs9g
3,HuffPost,wiBL-PhcNPo,Mamdani Mania,Zohran Mamdani stunned the political world by defeating former Gov. Andrew Cuomo in the New York City Democratic mayoral primary.,2025-06-25T15:14:54Z,PT2M18S,138,0:02:18,https://www.youtube.com/watch?v=wiBL-PhcNPo
4,HuffPost,jvfUs6DVrBM,Trump’s Foreign War Flip-Flop,"For years, President Trump has criticized America’s involvement in costly forever wars, pledging to bring US troops home from foreign battle fields. But by threatening Iran, his about turn is angering his base and some GOP lawmakers.",2025-06-20T12:37:55Z,PT1M23S,83,0:01:23,https://www.youtube.com/watch?v=jvfUs6DVrBM
5,HuffPost,n5_noSw_tv8,Masked Agents Detain NYC Mayoral Candidate,NYC mayoral candidate Brad Lander was detained at an immigration court in New York after asking to see a judicial warrant.,2025-06-17T18:06:17Z,PT39S,39,0:00:39,https://www.youtube.com/watch?v=n5_noSw_tv8
6,HuffPost,7lDqaksql58,How Tom Daley Prioritizes Mental Health,A new documentary charts Tom Daley’s at-times difficult journey to becoming the first British diver to win five Olympic medals. He explained to HuffPost why he wished he’d taken care of his mental health sooner.,2025-06-17T13:48:36Z,PT3M18S,198,0:03:18,https://www.youtube.com/watch?v=7lDqaksql58
7,HuffPost,h_EunFI-E-s,Democratic Senator Forced To Ground,Sen. Alex Padilla (D-Calif.) is offering details about what led to his removal from a press conference with Secretary of Homeland Security Kristi Noem.,2025-06-13T16:53:11Z,PT2M58S,178,0:02:58,https://www.youtube.com/watch?v=h_EunFI-E-s
8,HuffPost,5BGvJysU5-M,Ellie The Elephant Is Changing The Game,"Meet Ellie the Elephant, the New York Liberty’s larger-than-life icon who’s redefining what it means to hype up a team, represent a culture and inspire a new generation of WNBA fans.",2025-06-06T14:10:36Z,PT3M30S,210,0:03:30,https://www.youtube.com/watch?v=5BGvJysU5-M
