date,content,tweet_url,embedded_links
2025-06-28T21:30:07.000Z,"Mayor Brandon Johnson, who has made housing a cornerstone of his policy agenda, must make an important decision in the coming weeks on a new leader for the embattled Chicago Housing Authority.",https://x.com/chicagotribune/status/1939073852975239479,"['https://www.chicagotribune.com/2025/06/28/brandon-johnson-chicago-housing-authority-ceo/', 'https://www.chicagotribune.com/2025/06/28/brandon-johnson-chicago-housing-authority-ceo/']"
2025-06-28T21:00:04.000Z,"“We must reckon with the fact that everything is too damned expensive.”

Who said it: Illinois Gov. JB Pritzker, New York City mayoral candidate Zohran Mamdani or President Donald Trump?

Take the quiz to find out.",https://x.com/chicagotribune/status/1939066292188656003,"['https://www.chicagotribune.com/2025/06/28/quotes-quiz-june-28/', 'https://www.chicagotribune.com/2025/06/28/quotes-quiz-june-28/']"
2025-06-28T20:30:05.000Z,"A former Portage firefighter faces felony charges that accuse him of using a cellphone payroll app to falsely claim $93,001.11 in pay he didn’t earn over four years.",https://x.com/chicagotribune/status/1939058746245693844,"['https://www.chicagotribune.com/2025/06/27/former-portage-firefighter-accused-of-fraud/', 'https://www.chicagotribune.com/2025/06/27/former-portage-firefighter-accused-of-fraud/']"
2025-06-28T20:00:07.000Z,Who did the Chicago Blackhawks select in the 2025 NHL draft? Here are the latest picks.,https://x.com/chicagotribune/status/1939051204232835320,"['https://www.chicagotribune.com/2025/06/28/chicago-blackhawks-2025-nhl-draft/', 'https://www.chicagotribune.com/2025/06/28/chicago-blackhawks-2025-nhl-draft/']"
2025-06-28T19:30:03.000Z,"Israeli strikes killed at least 62 people across Gaza overnight and into Saturday, health workers said, as ceasefire prospects were said to be improving.",https://x.com/chicagotribune/status/1939043639012872449,"['https://www.chicagotribune.com/2025/06/28/israeli-strikes-gaza-3/', 'https://www.chicagotribune.com/2025/06/28/israeli-strikes-gaza-3/']"
2025-06-28T19:00:08.000Z,"The Tribune spoke with Lionel Boyce ahead of the new season, which includes an episode he wrote with actress Ayo Edebri, who plays Sydney Adamu.",https://x.com/chicagotribune/status/1939036110199357545,"['https://www.chicagotribune.com/2025/06/25/the-bear-interview-lionel-boyce/', 'https://www.chicagotribune.com/2025/06/25/the-bear-interview-lionel-boyce/']"
2025-06-28T18:45:08.000Z,"The Chicago Bulls are trading point guard Lonzo Ball to the Cleveland Cavaliers in exchange for guard/forward Isaac Okoro, ESPN reported Saturday.",https://x.com/chicagotribune/status/1939032334004572584,"['https://www.chicagotribune.com/2025/06/28/chicago-bulls-trade-lonzo-ball-isaac-okoro/', 'https://www.chicagotribune.com/2025/06/28/chicago-bulls-trade-lonzo-ball-isaac-okoro/']"
2025-06-28T18:30:08.000Z,"A 20-year-old woman was discovered fatally wounded Friday night in the Washington Park neighborhood on the South Side, Chicago police said.",https://x.com/chicagotribune/status/1939028558040445232,"['https://www.chicagotribune.com/2025/06/28/woman-found-fatally-shot-friday-night-in-washington-park-neighborhood/', 'https://www.chicagotribune.com/2025/06/28/woman-found-fatally-shot-friday-night-in-washington-park-neighborhood/']"
2025-06-28T18:00:10.000Z,"Commentary: Four years before the Stonewall uprising, Bruce Scott’s case created critical protections for gay federal employees and helped end the Lavender Scare, the Cold War campaign to remove gay workers from the federal government.",https://x.com/chicagotribune/status/1939021015599714502,"['https://www.chicagotribune.com/2025/06/27/opinion-bruce-scott-lavender-scare-chicago-gay-lgbtq-history/', 'https://www.chicagotribune.com/2025/06/27/opinion-bruce-scott-lavender-scare-chicago-gay-lgbtq-history/']"
2025-06-28T17:30:05.000Z,"Chesterton’s Town Council is calling for the immediate resignation of Porter County E-911 Director Debbie Gunn, accusing her of false statements regarding the performance of the joint dispatch center during the June 18 officer-involved shooting.",https://x.com/chicagotribune/status/1939013446470701150,"['https://www.chicagotribune.com/2025/06/28/chesterton-officials-call-for-investigation-resignation-of-porter-county-911-director/', 'https://www.chicagotribune.com/2025/06/28/chesterton-officials-call-for-investigation-resignation-of-porter-county-911-director/']"
2025-06-28T17:00:11.000Z,"Batting fourth Friday, former Chicago Cubs first-round pick Cam Smith took a big swing for the Houston Astros, connecting for a three-run home run and delivering a decisive blow in the fourth inning to beat the Cubs 7-4.",https://x.com/chicagotribune/status/1939005923575374056,"['https://www.chicagotribune.com/2025/06/27/chicago-cubs-houston-astros-cam-smith-cade-horton/', 'https://www.chicagotribune.com/2025/06/27/chicago-cubs-houston-astros-cam-smith-cade-horton/']"
2025-06-28T16:30:05.000Z,"U.S. stocks closed at an all-time high Friday, another milestone in the market’s remarkable recovery from a springtime plunge caused by fears that the Trump administration’s trade policies could harm the economy.",https://x.com/chicagotribune/status/1938998348494643523,"['https://www.chicagotribune.com/2025/06/27/global-shares-us-stocks/', 'https://www.chicagotribune.com/2025/06/27/global-shares-us-stocks/']"
2025-06-28T16:00:09.000Z,"Review: “That’s What Friends Are For” at the Black Ensemble Theater celebrates the songs of Patti LaBelle, Dionne Warwick and Gladys Knight.",https://x.com/chicagotribune/status/1938990815541346742,"['https://www.chicagotribune.com/2025/06/23/review-thats-what-friends-black-ensemble/', 'https://www.chicagotribune.com/2025/06/23/review-thats-what-friends-black-ensemble/']"
2025-06-28T15:30:03.000Z,"Chicago is poised to close the first half of the year with its steepest drop in violent crime in recent memory, with fewer than 200 homicides in the first six months of the year for the first time in over a decade, according to city and county figures.",https://x.com/chicagotribune/status/1938983239802102183,"['https://www.chicagotribune.com/2025/06/28/chicago-crime-drops/', 'https://www.chicagotribune.com/2025/06/28/chicago-crime-drops/']"
2025-06-28T15:00:10.000Z,"Letter to the Editor: 

The cruelty is unimaginable. Where are the voices of outrage at this inhumanity?",https://x.com/chicagotribune/status/1938975720073502904,"['https://www.chicagotribune.com/2025/06/27/letters-062725-gaza/', 'https://www.chicagotribune.com/2025/06/27/letters-062725-gaza/']"
2025-06-28T14:31:02.000Z,"The trial in Calumet City’s document destruction lawsuit against City Clerk Nyota Figgs wrapped up Friday, with attorneys for both sides presenting closing arguments.",https://x.com/chicagotribune/status/1938968386760745344,"['https://www.chicagotribune.com/2025/06/27/calumet-city-lawsuit-clerk-nyota-figgs/', 'https://www.chicagotribune.com/2025/06/27/calumet-city-lawsuit-clerk-nyota-figgs/']"
2025-06-28T14:00:08.000Z,Life just got a little Swede-r for the Chicago Blackhawks.,https://x.com/chicagotribune/status/1938960609246163321,"['https://www.chicagotribune.com/2025/06/27/chicago-blackhawks-anton-frondell-nhl-draft-no-3-pick/', 'https://www.chicagotribune.com/2025/06/27/chicago-blackhawks-anton-frondell-nhl-draft-no-3-pick/']"
2025-06-28T13:32:06.000Z,"The U.S. Supreme Court’s decision limiting federal judges from issuing nationwide injunctions threatens to upend numerous lawsuits that have led to orders blocking Trump administration policies.

Here are some of the decisions that could be impacted:",https://x.com/chicagotribune/status/1938953555949334642,"['https://www.chicagotribune.com/2025/06/27/high-court-ruling-injunctions-trump/', 'https://www.chicagotribune.com/2025/06/27/high-court-ruling-injunctions-trump/']"
